timestamp,module,action,status,details
2026-03-24T00:45:14.9123738,MARKET,ITEM_PURCHASED,SUCCESS,User: U001 | Product: Milk 1L | Qty: 2 | Total: 2.5€
2026-03-24T00:45:14.9203819,MARKET,ITEM_PURCHASED,SUCCESS,User: U001 | Product: Bread Loaf | Qty: 3 | Total: 3.3000000000000003€
2026-03-24T00:45:14.9238842,MARKET,ITEM_PURCHASED,SUCCESS,User: U001 | Product: Eggs 12u | Qty: 1 | Total: 2.4€
2026-03-24T00:45:14.9298934,PAYMENT,ITEM_PURCHASED,SUCCESS,User: U001 | Total: 8.200000000000001€ | Remaining: 92.3€
2026-03-24T00:46:57.1274253,MARKET,ITEM_PURCHASED,SUCCESS,User: U001 | Product: Milk 1L | Qty: 2 | Total: 2.5€
2026-03-24T00:46:57.1294306,MARKET,ITEM_DROPPED,SUCCESS,User: U001 | ProductId: 1 | QtyReturned: 1
2026-03-24T00:46:57.1369389,MARKET,ITEM_PURCHASED,SUCCESS,User: U001 | Product: Milk 1L | Qty: 2 | Total: 2.5€
2026-03-24T00:46:57.1389443,MARKET,ITEM_PURCHASED,SUCCESS,User: U001 | Product: Bread Loaf | Qty: 1 | Total: 1.1€
2026-03-24T00:46:57.1399435,MARKET,ITEM_PURCHASED,SUCCESS,User: U001 | Product: Eggs 12u | Qty: 2 | Total: 4.8€
2026-03-24T00:46:57.1419431,MARKET,ITEM_DROPPED,SUCCESS,User: U001 | ProductId: 3 | QtyReturned: 1
2026-03-24T00:46:57.1439443,PAYMENT,ITEM_PURCHASED,SUCCESS,User: U001 | Total: 7.25€ | Remaining: 85.05€
2026-03-24T00:46:57.1821852,MARKET,ITEM_PURCHASED,SUCCESS,User: U001 | Product: Milk 1L | Qty: 2 | Total: 2.5€
2026-03-24T00:46:57.1876987,MARKET,ITEM_PURCHASED,FAILED,User: U002 | ProductId: 1 | Requested: 100 | Error: Stock: 11
2026-03-24T00:46:57.1896992,PAYMENT,ITEM_PURCHASED,SUCCESS,User: U002 | Total: 0.0€ | Remaining: 50.0€
2026-03-24T00:46:57.2028096,MARKET,ITEM_PURCHASED,SUCCESS,User: U001 | Product: Milk 1L | Qty: 2 | Total: 2.5€
2026-03-24T00:46:57.2108176,MARKET,ITEM_PURCHASED,SUCCESS,User: U001 | Product: Milk 1L | Qty: 2 | Total: 2.5€
2026-03-24T00:46:57.2118571,PAYMENT,ITEM_PURCHASED,SUCCESS,User: U001 | Total: 7.5€ | Remaining: 77.55€
2026-03-24T00:46:57.2303951,MARKET,ITEM_PURCHASED,SUCCESS,User: U001 | Product: Milk 1L | Qty: 2 | Total: 2.5€
2026-03-24T00:46:57.2323956,PAYMENT,ITEM_PURCHASED,SUCCESS,User: U001 | Total: 2.5€ | Remaining: 75.05€
2026-03-24T00:48:33.2411696,MARKET,ITEM_PURCHASED,SUCCESS,User: U001 | Product: Milk 1L | Qty: 2 | Total: 2.5â‚¬
